"A13#.TMC"
Time/sec,Abs
0.0,0.0739
1.0,0.0812
2.0,0.1000
3.0,0.0970
4.0,0.0833
5.0,0.0847
6.0,0.0851
7.0,0.0859
8.0,0.0863
9.0,0.0864
10.0,0.0868
11.0,0.0880
12.0,0.0897
13.0,0.0903
14.0,0.0910
15.0,0.0933
16.0,0.0964
17.0,0.1002
18.0,0.1018
19.0,0.1011
20.0,0.0985
21.0,0.0964
22.0,0.0973
23.0,0.0996
24.0,0.1014
25.0,0.1030
26.0,0.1042
27.0,0.1063
28.0,0.1083
29.0,0.1103
30.0,0.1139
31.0,0.1150
32.0,0.1157
33.0,0.1182
34.0,0.1213
35.0,0.1243
36.0,0.1284
37.0,0.1306
38.0,0.1339
39.0,0.1386
40.0,0.1425
41.0,0.1474
42.0,0.1524
43.0,0.1582
44.0,0.1626
45.0,0.1668
46.0,0.1709
47.0,0.1770
48.0,0.1806
49.0,0.1864
50.0,0.1919
51.0,0.1964
52.0,0.2014
53.0,0.2070
54.0,0.2120
55.0,0.2168
56.0,0.2223
57.0,0.2282
58.0,0.2344
59.0,0.2414
60.0,0.2535
61.0,0.2676
62.0,0.2768
63.0,0.2854
64.0,0.2929
65.0,0.3024
66.0,0.3098
67.0,0.3163
68.0,0.3223
69.0,0.3282
70.0,0.3337
71.0,0.3399
72.0,0.3454
73.0,0.3518
74.0,0.3589
75.0,0.3661
76.0,0.3735
77.0,0.3825
78.0,0.3913
79.0,0.3999
80.0,0.4041
81.0,0.4014
82.0,0.4053
83.0,0.4112
84.0,0.4184
85.0,0.4236
86.0,0.4313
87.0,0.4390
88.0,0.4469
89.0,0.4541
90.0,0.4612
91.0,0.4670
92.0,0.4750
93.0,0.4826
94.0,0.4896
95.0,0.4976
96.0,0.5067
97.0,0.5123
98.0,0.5186
99.0,0.5259
100.0,0.5331
101.0,0.5420
102.0,0.5509
103.0,0.5589
104.0,0.5675
105.0,0.5756
106.0,0.5833
107.0,0.5897
108.0,0.5973
109.0,0.6043
110.0,0.6130
111.0,0.6208
112.0,0.6291
113.0,0.6373
114.0,0.6449
115.0,0.6525
116.0,0.6598
117.0,0.6666
118.0,0.6743
119.0,0.6811
120.0,0.6892
121.0,0.6961
122.0,0.7028
123.0,0.7090
124.0,0.7182
125.0,0.7248
126.0,0.7323
127.0,0.7386
128.0,0.7449
129.0,0.7526
130.0,0.7592
131.0,0.7660
132.0,0.7723
133.0,0.7794
134.0,0.7859
135.0,0.7933
136.0,0.8013
137.0,0.8095
138.0,0.8170
139.0,0.8240
140.0,0.8326
141.0,0.8394
142.0,0.8449
143.0,0.8517
144.0,0.8595
145.0,0.8663
146.0,0.8749
147.0,0.8808
148.0,0.8882
149.0,0.8939
150.0,0.9004
151.0,0.9077
152.0,0.9155
153.0,0.9231
154.0,0.9307
155.0,0.9378
156.0,0.9429
157.0,0.9503
158.0,0.9578
159.0,0.9645
160.0,0.9719
161.0,0.9781
162.0,0.9846
163.0,0.9910
164.0,0.9968
165.0,1.0018
166.0,1.0075
167.0,1.0144
168.0,1.0207
169.0,1.0268
170.0,1.0345
171.0,1.0399
172.0,1.0462
173.0,1.0519
174.0,1.0584
175.0,1.0630
176.0,1.0686
177.0,1.0741
178.0,1.0792
179.0,1.0842
180.0,1.0911
181.0,1.0975
182.0,1.1033
183.0,1.1069
184.0,1.1122
185.0,1.1177
186.0,1.1234
187.0,1.1275
188.0,1.1326
189.0,1.1388
190.0,1.1440
191.0,1.1503
192.0,1.1563
193.0,1.1603
194.0,1.1655
195.0,1.1719
196.0,1.1761
197.0,1.1809
198.0,1.1871
199.0,1.1922
200.0,1.1952
201.0,1.1995
202.0,1.2067
203.0,1.2120
204.0,1.2188
205.0,1.2243
206.0,1.2295
207.0,1.2367
208.0,1.2410
209.0,1.2466
210.0,1.2523
211.0,1.2575
212.0,1.2634
213.0,1.2699
214.0,1.2754
215.0,1.2803
216.0,1.2859
217.0,1.2917
218.0,1.2974
219.0,1.3018
220.0,1.3084
221.0,1.3141
222.0,1.3188
223.0,1.3228
224.0,1.3265
225.0,1.3318
226.0,1.3372
227.0,1.3427
228.0,1.3470
229.0,1.3514
230.0,1.3562
231.0,1.3610
232.0,1.3670
233.0,1.3718
234.0,1.3783
235.0,1.3816
236.0,1.3839
237.0,1.3889
238.0,1.3922
239.0,1.3979
240.0,1.4046
241.0,1.4095
242.0,1.4118
243.0,1.4184
244.0,1.4246
245.0,1.4299
246.0,1.4331
247.0,1.4385
248.0,1.4443
249.0,1.4494
250.0,1.4547
251.0,1.4603
252.0,1.4638
253.0,1.4670
254.0,1.4738
255.0,1.4809
256.0,1.4850
257.0,1.4906
258.0,1.4951
259.0,1.4990
260.0,1.5047
261.0,1.5094
262.0,1.5156
263.0,1.5200
264.0,1.5244
265.0,1.5260
266.0,1.5324
267.0,1.5370
268.0,1.5433
269.0,1.5473
270.0,1.5519
271.0,1.5542
272.0,1.5571
273.0,1.5624
274.0,1.5654
275.0,1.5708
276.0,1.5768
277.0,1.5792
278.0,1.5853
279.0,1.5891
280.0,1.5941
281.0,1.5960
282.0,1.5996
283.0,1.6016
284.0,1.6075
285.0,1.6095
286.0,1.6178
287.0,1.6208
288.0,1.6235
289.0,1.6280
290.0,1.6313
291.0,1.6363
292.0,1.6409
293.0,1.6441
294.0,1.6490
295.0,1.6545
296.0,1.6589
297.0,1.6615
298.0,1.6673
299.0,1.6715
300.0,1.6745
301.0,1.6750
302.0,1.6802
303.0,1.6832
304.0,1.6907
305.0,1.6919
306.0,1.6948
307.0,1.6994
308.0,1.7001
309.0,1.7042
310.0,1.7076
311.0,1.7100
312.0,1.7137
313.0,1.7161
314.0,1.7184
315.0,1.7218
316.0,1.7259
317.0,1.7281
318.0,1.7327
319.0,1.7379
320.0,1.7419
321.0,1.7483
322.0,1.7536
323.0,1.7595
324.0,1.7636
325.0,1.7661
326.0,1.7729
327.0,1.7787
328.0,1.7839
329.0,1.7913
330.0,1.7946
331.0,1.8003
332.0,1.8036
333.0,1.8090
334.0,1.8102
335.0,1.8131
336.0,1.8132
337.0,1.8125
338.0,1.8169
339.0,1.8172
340.0,1.8187
341.0,1.8216
342.0,1.8231
343.0,1.8272
344.0,1.8290
345.0,1.8339
346.0,1.8378
347.0,1.8439
348.0,1.8481
349.0,1.8510
350.0,1.8534
351.0,1.8596
352.0,1.8617
353.0,1.8640
354.0,1.8657
355.0,1.8722
356.0,1.8729
357.0,1.8745
358.0,1.8786
359.0,1.8860
360.0,1.8883
361.0,1.8903
362.0,1.8933
363.0,1.8971
364.0,1.9002
365.0,1.9053
366.0,1.9083
367.0,1.9099
368.0,1.9165
369.0,1.9185
370.0,1.9228
371.0,1.9254
372.0,1.9306
373.0,1.9331
374.0,1.9361
375.0,1.9393
376.0,1.9446
377.0,1.9499
378.0,1.9517
379.0,1.9574
380.0,1.9629
381.0,1.9678
382.0,1.9724
383.0,1.9766
384.0,1.9797
385.0,1.9841
386.0,1.9859
387.0,1.9926
388.0,1.9979
389.0,2.0033
390.0,2.0063
391.0,2.0126
392.0,2.0130
393.0,2.0134
394.0,2.0167
395.0,2.0203
396.0,2.0256
397.0,2.0286
398.0,2.0307
399.0,2.0323
400.0,2.0331
401.0,2.0317
402.0,2.0358
403.0,2.0379
404.0,2.0404
405.0,2.0428
406.0,2.0431
407.0,2.0458
408.0,2.0499
409.0,2.0528
410.0,2.0571
411.0,2.0598
412.0,2.0603
413.0,2.0666
414.0,2.0697
415.0,2.0699
416.0,2.0725
417.0,2.0755
418.0,2.0815
419.0,2.0837
420.0,2.0843
421.0,2.0846
422.0,2.0869
423.0,2.0867
424.0,2.0893
425.0,2.0940
426.0,2.0969
427.0,2.0978
428.0,2.1001
429.0,2.1004
430.0,2.1031
431.0,2.1039
432.0,2.1094
433.0,2.1123
434.0,2.1155
435.0,2.1147
436.0,2.1174
437.0,2.1214
438.0,2.1229
439.0,2.1213
440.0,2.1221
441.0,2.1228
442.0,2.1258
443.0,2.1271
444.0,2.1311
445.0,2.1310
446.0,2.1330
447.0,2.1367
448.0,2.1381
449.0,2.1423
450.0,2.1483
451.0,2.1493
452.0,2.1521
453.0,2.1564
454.0,2.1614
455.0,2.1657
456.0,2.1652
457.0,2.1684
458.0,2.1736
459.0,2.1754
460.0,2.1785
461.0,2.1808
462.0,2.1866
463.0,2.1893
464.0,2.1907
465.0,2.1902
466.0,2.1911
467.0,2.1943
468.0,2.1957
469.0,2.1990
470.0,2.2041
471.0,2.2050
472.0,2.2064
473.0,2.2074
474.0,2.2112
475.0,2.2131
476.0,2.2145
477.0,2.2149
478.0,2.2159
479.0,2.2163
480.0,2.2152
481.0,2.2151
482.0,2.2177
483.0,2.2179
484.0,2.2192
485.0,2.2199
486.0,2.2211
487.0,2.2253
488.0,2.2273
489.0,2.2295
490.0,2.2314
491.0,2.2330
492.0,2.2368
493.0,2.2420
494.0,2.2450
495.0,2.2493
496.0,2.2548
497.0,2.2556
498.0,2.2571
499.0,2.2635
500.0,2.2672
501.0,2.2679
502.0,2.2707
503.0,2.2733
504.0,2.2746
505.0,2.2754
506.0,2.2759
507.0,2.2780
508.0,2.2820
509.0,2.2833
510.0,2.2854
511.0,2.2861
512.0,2.2885
513.0,2.2894
514.0,2.2903
515.0,2.2909
516.0,2.2934
517.0,2.2989
518.0,2.3005
519.0,2.3000
520.0,2.3005
521.0,2.3072
522.0,2.3116
523.0,2.3154
524.0,2.3181
525.0,2.3206
526.0,2.3235
527.0,2.3278
528.0,2.3306
529.0,2.3347
530.0,2.3376
531.0,2.3397
532.0,2.3386
533.0,2.3400
534.0,2.3412
535.0,2.3451
536.0,2.3478
537.0,2.3523
538.0,2.3529
539.0,2.3539
540.0,2.3587
541.0,2.3620
542.0,2.3630
543.0,2.3658
544.0,2.3671
545.0,2.3688
546.0,2.3694
547.0,2.3695
548.0,2.3692
549.0,2.3704
550.0,2.3713
551.0,2.3716
552.0,2.3729
553.0,2.3754
554.0,2.3783
555.0,2.3815
556.0,2.3859
557.0,2.3885
558.0,2.3877
559.0,2.3927
560.0,2.3946
561.0,2.3977
562.0,2.3986
563.0,2.3978
564.0,2.4006
565.0,2.4046
566.0,2.4050
567.0,2.4056
568.0,2.4074
569.0,2.4126
570.0,2.4164
571.0,2.4197
572.0,2.4233
573.0,2.4274
574.0,2.4315
575.0,2.4358
576.0,2.4408
577.0,2.4451
578.0,2.4492
579.0,2.4545
580.0,2.4580
581.0,2.4595
582.0,2.4625
583.0,2.4647
584.0,2.4685
585.0,2.4674
586.0,2.4669
587.0,2.4689
588.0,2.4713
589.0,2.4716
590.0,2.4730
591.0,2.4748
592.0,2.4780
593.0,2.4790
594.0,2.4787
595.0,2.4789
596.0,2.4818
597.0,2.4823
598.0,2.4815
599.0,2.4847
600.0,2.4922
601.0,2.4939
602.0,2.4962
603.0,2.4987
604.0,2.5013
605.0,2.5036
606.0,2.5036
607.0,2.5040
608.0,2.5084
609.0,2.5125
610.0,2.5147
611.0,2.5149
612.0,2.5167
613.0,2.5185
614.0,2.5207
615.0,2.5234
616.0,2.5241
617.0,2.5303
618.0,2.5307
619.0,2.5333
620.0,2.5318
621.0,2.5335
622.0,2.5346
623.0,2.5401
624.0,2.5457
625.0,2.5456
626.0,2.5450
627.0,2.5422
628.0,2.5395
629.0,2.5398
630.0,2.5386
631.0,2.5377
632.0,2.5365
633.0,2.5347
634.0,2.5339
635.0,2.5337
636.0,2.5397
637.0,2.5430
638.0,2.5441
639.0,2.5488
640.0,2.5510
641.0,2.5532
642.0,2.5523
643.0,2.5540
644.0,2.5537
645.0,2.5541
646.0,2.5579
647.0,2.5598
648.0,2.5615
649.0,2.5646
650.0,2.5688
651.0,2.5731
652.0,2.5749
653.0,2.5754
654.0,2.5755
655.0,2.5791
656.0,2.5823
657.0,2.5846
658.0,2.5840
659.0,2.5817
660.0,2.5830
661.0,2.5820
662.0,2.5804
663.0,2.5807
664.0,2.5843
665.0,2.5868
666.0,2.5924
667.0,2.5985
668.0,2.6011
669.0,2.6061
670.0,2.6061
671.0,2.6064
672.0,2.6052
673.0,2.6064
674.0,2.6042
675.0,2.6038
676.0,2.6043
677.0,2.6038
678.0,2.6077
679.0,2.6114
680.0,2.6125
681.0,2.6158
682.0,2.6189
683.0,2.6266
684.0,2.6311
685.0,2.6314
686.0,2.6334
687.0,2.6327
688.0,2.6334
689.0,2.6342
690.0,2.6374
691.0,2.6413
692.0,2.6468
693.0,2.6473
694.0,2.6506
695.0,2.6523
696.0,2.6560
697.0,2.6588
698.0,2.6619
699.0,2.6628
700.0,2.6640
701.0,2.6646
702.0,2.6624
703.0,2.6624
704.0,2.6610
705.0,2.6594
706.0,2.6603
707.0,2.6598
708.0,2.6582
709.0,2.6586
710.0,2.6551
