"A15^.TMC"
Time/sec,Abs
0.0,0.0011
1.0,0.0011
2.0,0.0012
3.0,0.0013
4.0,0.0014
5.0,0.0015
6.0,0.0017
7.0,0.0019
8.0,0.0020
9.0,0.0022
10.0,0.0023
11.0,0.0023
12.0,0.0024
13.0,0.0025
14.0,0.0026
15.0,0.0028
16.0,0.0030
17.0,0.0032
18.0,0.0034
19.0,0.0036
20.0,0.0037
21.0,0.0039
22.0,0.0037
23.0,0.0038
24.0,0.0040
25.0,0.0041
26.0,0.0042
27.0,0.0044
28.0,0.0046
29.0,0.0047
30.0,0.0048
31.0,0.0050
32.0,0.0051
33.0,0.0053
34.0,0.0055
35.0,0.0057
36.0,0.0059
37.0,0.0061
38.0,0.0063
39.0,0.0066
40.0,0.0068
41.0,0.0071
42.0,0.0073
43.0,0.0076
44.0,0.0078
45.0,0.0080
46.0,0.0083
47.0,0.0086
48.0,0.0088
49.0,0.0090
50.0,0.0093
51.0,0.0095
52.0,0.0097
53.0,0.0100
54.0,0.0102
55.0,0.0105
56.0,0.0107
57.0,0.0110
58.0,0.0112
59.0,0.0115
60.0,0.0118
61.0,0.0120
62.0,0.0123
63.0,0.0125
64.0,0.0128
65.0,0.0131
66.0,0.0133
67.0,0.0136
68.0,0.0138
69.0,0.0141
70.0,0.0144
71.0,0.0146
72.0,0.0149
73.0,0.0151
74.0,0.0154
75.0,0.0156
76.0,0.0158
77.0,0.0161
78.0,0.0164
79.0,0.0167
80.0,0.0170
81.0,0.0173
82.0,0.0175
83.0,0.0178
84.0,0.0180
85.0,0.0183
86.0,0.0185
87.0,0.0188
88.0,0.0190
89.0,0.0193
90.0,0.0195
91.0,0.0197
92.0,0.0200
93.0,0.0203
94.0,0.0205
95.0,0.0208
96.0,0.0211
97.0,0.0213
98.0,0.0216
99.0,0.0218
100.0,0.0220
101.0,0.0220
102.0,0.0223
103.0,0.0226
104.0,0.0229
105.0,0.0232
106.0,0.0234
107.0,0.0237
108.0,0.0240
109.0,0.0242
110.0,0.0245
111.0,0.0247
112.0,0.0250
113.0,0.0253
114.0,0.0255
115.0,0.0258
116.0,0.0261
117.0,0.0264
118.0,0.0267
119.0,0.0269
120.0,0.0272
121.0,0.0274
122.0,0.0276
123.0,0.0278
124.0,0.0276
125.0,0.0272
126.0,0.0274
127.0,0.0276
128.0,0.0278
129.0,0.0280
130.0,0.0282
131.0,0.0284
132.0,0.0286
133.0,0.0289
134.0,0.0291
135.0,0.0293
136.0,0.0295
137.0,0.0297
138.0,0.0299
139.0,0.0301
140.0,0.0303
141.0,0.0305
142.0,0.0306
143.0,0.0308
144.0,0.0311
145.0,0.0313
146.0,0.0314
147.0,0.0317
148.0,0.0319
149.0,0.0321
150.0,0.0324
151.0,0.0325
152.0,0.0328
153.0,0.0330
154.0,0.0332
155.0,0.0334
156.0,0.0336
157.0,0.0338
158.0,0.0340
159.0,0.0342
160.0,0.0344
161.0,0.0346
162.0,0.0348
163.0,0.0351
164.0,0.0353
165.0,0.0355
166.0,0.0357
167.0,0.0358
168.0,0.0360
169.0,0.0362
170.0,0.0364
171.0,0.0366
172.0,0.0368
173.0,0.0371
174.0,0.0373
175.0,0.0375
176.0,0.0376
177.0,0.0378
178.0,0.0379
179.0,0.0381
180.0,0.0383
181.0,0.0385
182.0,0.0387
183.0,0.0389
184.0,0.0391
185.0,0.0393
186.0,0.0395
187.0,0.0398
188.0,0.0399
189.0,0.0401
190.0,0.0403
191.0,0.0404
192.0,0.0407
193.0,0.0409
194.0,0.0411
195.0,0.0412
196.0,0.0414
197.0,0.0416
198.0,0.0418
199.0,0.0421
200.0,0.0422
201.0,0.0423
202.0,0.0425
203.0,0.0427
204.0,0.0428
205.0,0.0429
206.0,0.0431
207.0,0.0433
208.0,0.0434
209.0,0.0436
210.0,0.0439
211.0,0.0441
212.0,0.0442
213.0,0.0445
214.0,0.0446
215.0,0.0449
216.0,0.0450
217.0,0.0452
218.0,0.0454
219.0,0.0456
220.0,0.0458
221.0,0.0460
222.0,0.0461
223.0,0.0463
224.0,0.0464
225.0,0.0466
226.0,0.0468
227.0,0.0469
228.0,0.0472
229.0,0.0474
230.0,0.0476
231.0,0.0478
232.0,0.0480
233.0,0.0482
234.0,0.0484
235.0,0.0486
236.0,0.0487
237.0,0.0489
238.0,0.0491
239.0,0.0493
240.0,0.0495
241.0,0.0497
242.0,0.0498
243.0,0.0500
244.0,0.0501
245.0,0.0503
246.0,0.0505
247.0,0.0506
248.0,0.0509
249.0,0.0511
250.0,0.0512
251.0,0.0514
252.0,0.0516
253.0,0.0518
254.0,0.0519
255.0,0.0520
256.0,0.0522
257.0,0.0524
258.0,0.0526
259.0,0.0528
260.0,0.0530
261.0,0.0531
262.0,0.0533
263.0,0.0535
264.0,0.0538
265.0,0.0539
266.0,0.0541
267.0,0.0542
268.0,0.0543
269.0,0.0545
270.0,0.0546
271.0,0.0548
272.0,0.0549
273.0,0.0550
274.0,0.0551
275.0,0.0552
276.0,0.0553
277.0,0.0555
278.0,0.0556
279.0,0.0558
280.0,0.0560
281.0,0.0562
282.0,0.0563
283.0,0.0565
284.0,0.0566
285.0,0.0568
286.0,0.0569
287.0,0.0571
288.0,0.0572
289.0,0.0574
290.0,0.0575
291.0,0.0577
292.0,0.0579
293.0,0.0580
294.0,0.0582
295.0,0.0584
296.0,0.0585
297.0,0.0587
298.0,0.0588
299.0,0.0590
300.0,0.0592
301.0,0.0594
302.0,0.0596
303.0,0.0598
304.0,0.0599
305.0,0.0601
306.0,0.0602
307.0,0.0603
308.0,0.0604
309.0,0.0605
310.0,0.0606
311.0,0.0607
312.0,0.0609
313.0,0.0610
314.0,0.0611
315.0,0.0613
316.0,0.0614
317.0,0.0616
318.0,0.0617
319.0,0.0619
320.0,0.0620
321.0,0.0621
322.0,0.0623
323.0,0.0624
324.0,0.0625
325.0,0.0626
326.0,0.0627
327.0,0.0629
328.0,0.0630
329.0,0.0632
330.0,0.0633
331.0,0.0636
332.0,0.0637
333.0,0.0639
334.0,0.0640
335.0,0.0642
336.0,0.0643
337.0,0.0645
338.0,0.0646
339.0,0.0648
340.0,0.0650
341.0,0.0651
342.0,0.0653
343.0,0.0656
344.0,0.0657
345.0,0.0659
346.0,0.0660
347.0,0.0661
348.0,0.0662
349.0,0.0662
350.0,0.0663
351.0,0.0664
352.0,0.0665
353.0,0.0666
354.0,0.0667
355.0,0.0667
356.0,0.0668
357.0,0.0668
358.0,0.0669
359.0,0.0670
360.0,0.0671
361.0,0.0672
362.0,0.0673
363.0,0.0674
364.0,0.0676
365.0,0.0677
366.0,0.0679
367.0,0.0680
368.0,0.0682
369.0,0.0684
370.0,0.0685
371.0,0.0687
372.0,0.0688
373.0,0.0689
374.0,0.0690
375.0,0.0692
376.0,0.0693
377.0,0.0694
378.0,0.0694
379.0,0.0695
380.0,0.0696
381.0,0.0696
382.0,0.0697
383.0,0.0698
384.0,0.0699
385.0,0.0701
386.0,0.0702
387.0,0.0703
388.0,0.0704
389.0,0.0704
390.0,0.0704
391.0,0.0704
392.0,0.0705
393.0,0.0705
394.0,0.0704
395.0,0.0704
396.0,0.0705
397.0,0.0705
398.0,0.0706
399.0,0.0705
400.0,0.0705
401.0,0.0705
402.0,0.0706
403.0,0.0707
404.0,0.0708
405.0,0.0709
406.0,0.0709
407.0,0.0710
408.0,0.0711
409.0,0.0711
410.0,0.0711
411.0,0.0712
412.0,0.0713
413.0,0.0714
414.0,0.0715
415.0,0.0715
416.0,0.0715
417.0,0.0715
418.0,0.0715
419.0,0.0715
420.0,0.0715
421.0,0.0716
422.0,0.0716
423.0,0.0716
424.0,0.0716
425.0,0.0717
426.0,0.0716
427.0,0.0716
428.0,0.0715
429.0,0.0715
430.0,0.0715
431.0,0.0716
432.0,0.0715
433.0,0.0715
434.0,0.0715
435.0,0.0716
436.0,0.0716
437.0,0.0717
438.0,0.0717
439.0,0.0717
440.0,0.0718
441.0,0.0719
442.0,0.0719
443.0,0.0720
444.0,0.0721
445.0,0.0722
446.0,0.0723
447.0,0.0723
448.0,0.0724
449.0,0.0724
450.0,0.0724
451.0,0.0724
452.0,0.0724
453.0,0.0724
454.0,0.0724
455.0,0.0724
456.0,0.0724
457.0,0.0724
458.0,0.0725
459.0,0.0725
460.0,0.0725
461.0,0.0725
462.0,0.0726
463.0,0.0726
464.0,0.0727
465.0,0.0728
466.0,0.0728
467.0,0.0729
468.0,0.0729
469.0,0.0730
470.0,0.0731
471.0,0.0731
472.0,0.0731
473.0,0.0732
474.0,0.0733
475.0,0.0733
476.0,0.0734
477.0,0.0735
478.0,0.0736
479.0,0.0736
480.0,0.0738
481.0,0.0738
482.0,0.0738
483.0,0.0739
484.0,0.0739
485.0,0.0740
486.0,0.0740
487.0,0.0741
488.0,0.0742
489.0,0.0742
490.0,0.0743
491.0,0.0743
492.0,0.0744
493.0,0.0745
494.0,0.0746
495.0,0.0747
496.0,0.0747
497.0,0.0748
498.0,0.0749
499.0,0.0750
500.0,0.0750
501.0,0.0751
502.0,0.0751
503.0,0.0752
504.0,0.0753
505.0,0.0754
506.0,0.0754
507.0,0.0755
508.0,0.0756
509.0,0.0757
510.0,0.0757
511.0,0.0758
512.0,0.0758
513.0,0.0759
514.0,0.0760
515.0,0.0761
516.0,0.0761
517.0,0.0762
518.0,0.0763
519.0,0.0763
520.0,0.0764
521.0,0.0765
522.0,0.0766
523.0,0.0767
524.0,0.0767
525.0,0.0768
526.0,0.0769
527.0,0.0769
528.0,0.0769
529.0,0.0770
530.0,0.0771
531.0,0.0771
532.0,0.0772
533.0,0.0772
534.0,0.0772
535.0,0.0772
536.0,0.0772
537.0,0.0773
538.0,0.0773
539.0,0.0773
540.0,0.0774
541.0,0.0774
542.0,0.0775
543.0,0.0775
544.0,0.0776
545.0,0.0777
546.0,0.0777
547.0,0.0777
548.0,0.0778
549.0,0.0778
550.0,0.0778
551.0,0.0779
552.0,0.0779
553.0,0.0780
554.0,0.0779
555.0,0.0779
556.0,0.0779
557.0,0.0779
558.0,0.0780
559.0,0.0780
560.0,0.0780
561.0,0.0781
562.0,0.0781
563.0,0.0781
564.0,0.0781
565.0,0.0781
566.0,0.0782
567.0,0.0782
568.0,0.0782
569.0,0.0782
570.0,0.0782
571.0,0.0783
572.0,0.0783
573.0,0.0783
574.0,0.0784
575.0,0.0784
576.0,0.0784
577.0,0.0784
578.0,0.0784
579.0,0.0784
580.0,0.0783
581.0,0.0783
582.0,0.0783
583.0,0.0783
584.0,0.0783
585.0,0.0783
586.0,0.0783
587.0,0.0782
588.0,0.0783
589.0,0.0783
590.0,0.0783
591.0,0.0783
592.0,0.0782
593.0,0.0782
594.0,0.0782
595.0,0.0781
596.0,0.0782
597.0,0.0781
598.0,0.0781
599.0,0.0781
600.0,0.0781
