"66771982.SPC"
WL/nm,Abs
304.00,0.618
303.00,0.619
302.00,0.615
301.00,0.607
300.00,0.594
299.00,0.579
298.00,0.561
297.00,0.542
296.00,0.520
295.00,0.499
294.00,0.475
293.00,0.452
292.00,0.429
291.00,0.407
290.00,0.386
289.00,0.366
288.00,0.347
287.00,0.330
286.00,0.313
285.00,0.298
284.00,0.284
283.00,0.271
282.00,0.259
281.00,0.248
280.00,0.238
279.00,0.229
278.00,0.222
277.00,0.216
276.00,0.212
275.00,0.209
274.00,0.208
273.00,0.208
272.00,0.209
271.00,0.211
270.00,0.214
269.00,0.218
268.00,0.222
267.00,0.228
266.00,0.235
265.00,0.243
264.00,0.252
263.00,0.262
262.00,0.275
261.00,0.288
260.00,0.304
259.00,0.321
258.00,0.341
257.00,0.363
256.00,0.387
255.00,0.412
254.00,0.437
253.00,0.461
252.00,0.481
251.00,0.496
250.00,0.504
249.00,0.503
248.00,0.496
247.00,0.484
246.00,0.466
245.00,0.446
244.00,0.424
243.00,0.400
242.00,0.377
241.00,0.356
240.00,0.336
239.00,0.317
238.00,0.301
237.00,0.288
236.00,0.277
235.00,0.269
234.00,0.264
233.00,0.262
232.00,0.263
231.00,0.266
230.00,0.271
229.00,0.278
228.00,0.288
227.00,0.302
226.00,0.321
225.00,0.345
224.00,0.377
223.00,0.416
222.00,0.467
221.00,0.527
220.00,0.598
219.00,0.683
218.00,0.772
217.00,0.867
216.00,0.958
215.00,1.045
214.00,1.125
213.00,1.191
212.00,1.250
211.00,1.295
210.00,1.327
209.00,1.348
208.00,1.354
207.00,1.347
206.00,1.333
205.00,1.308
204.00,1.277
203.00,1.241
202.00,1.199
201.00,1.155
200.00,1.117
